id,name,year,running_time,rating,image,image_content_type,imdb_url,genre_id,director_id
36,Bandidas,2005,5580,ALL,NULL,NULL,NULL,3,136
37,Barbie in das Agenten Team,2016,4500,ALL,NULL,NULL,NULL,2,128
38,Batman - The Dark Knight,2008,9120,ALL,NULL,NULL,NULL,7,128
39,Batman Begins,2005,8400,ALL,NULL,NULL,NULL,7,128
40,Battleship,2012,7860,ALL,NULL,NULL,NULL,15,295
41,Beautiful Mind,2001,7800,ALL,NULL,NULL,NULL,6,301
42,Before Sunrise,1995,6060,ALL,NULL,NULL,NULL,12,301
43,Benny Hill - The Best of Benny Hill ,1974,4980,ALL,NULL,NULL,NULL,3,137
44,Bernard & Bianca,2002,4380,ALL,NULL,NULL,NULL,2,301
45,Besessen,2002,6120,ALL,NULL,NULL,NULL,12,295
46,"Best of Me, The",2014,7080,ALL,NULL,NULL,NULL,6,152
47,Big Fish,2003,6600,ALL,NULL,NULL,NULL,7,301
48,Black Hawk Down,2001,9000,ALL,NULL,NULL,NULL,11,301
49,Black Swan,2010,6480,ALL,NULL,NULL,NULL,6,129
50,Blood Diamond,2006,8220,ALL,NULL,NULL,NULL,6,136
51,Blow,2001,7140,ALL,NULL,NULL,NULL,4,301
52,Bodyguard,1992,6840,ALL,NULL,NULL,NULL,12,152
53,Bone Collector,1999,7080,ALL,NULL,NULL,NULL,4,295
54,"Book of Eli, The",2010,7020,ALL,NULL,NULL,NULL,15,128
55,Born2Die (Cradle 2 the Grave),2003,6000,ALL,NULL,NULL,NULL,1,128
56,Bounce,2000,6120,ALL,NULL,NULL,NULL,12,136
57,"Bourne Identity, The",2002,6780,ALL,NULL,NULL,NULL,1,136
58,"Bourne Supremacy, The",2004,7200,ALL,NULL,NULL,NULL,1,295
59,"Bourne Ultimatum, The",2007,6600,ALL,NULL,NULL,NULL,1,295
60,Bowling for Columbine,2002,7140,ALL,NULL,NULL,NULL,5,152
61,Breaking and Entering,2006,6840,ALL,NULL,NULL,NULL,6,128
62,Bridget Jones: The Edge of Reason,2004,6480,ALL,NULL,NULL,NULL,3,128
63,Bridget Jones's Baby,2016,7380,ALL,NULL,NULL,NULL,3,301
64,Bridget Jones's Diary,2001,5640,ALL,NULL,NULL,NULL,3,301
65,"Brothers Grimm, The",2005,7080,ALL,NULL,NULL,NULL,7,301
66,"Bube, Dame, König, Gras",1998,6360,ALL,NULL,NULL,NULL,3,136
67,"Butterfly Effect 1, The",2004,6780,ALL,NULL,NULL,NULL,9,136
68,"Butterfly Effect 2, The",2006,5520,ALL,NULL,NULL,NULL,9,137
69,Captain Corelli's Mandolin,2001,7440,ALL,NULL,NULL,NULL,8,137
70,Cargo,2009,7200,ALL,NULL,NULL,NULL,14,136
71,Cars,2006,6840,ALL,NULL,NULL,NULL,2,295
72,Cars 2,2011,6360,ALL,NULL,NULL,NULL,2,295
73,Casablanca,1942,6120,ALL,NULL,NULL,NULL,6,152
74,Casanova (1976),1976,9960,ALL,NULL,NULL,NULL,8,136
75,Casanova (2005),2005,6480,ALL,NULL,NULL,NULL,3,137
76,Cast Away,2000,8580,ALL,NULL,NULL,NULL,6,301
77,Catch Me if You Can,2002,8400,ALL,NULL,NULL,NULL,3,301
78,Catwoman,2004,5820,ALL,NULL,NULL,NULL,7,295
79,Chaos,2006,6420,ALL,NULL,NULL,NULL,1,301
80,Charlie Wilson's War,2007,6120,ALL,NULL,NULL,NULL,4,289
81,Che: Part One,2008,7680,ALL,NULL,NULL,NULL,6,301
82,Che: Part Two,2008,7860,ALL,NULL,NULL,NULL,6,301
83,"Children of Men, The",2006,6360,ALL,NULL,NULL,NULL,15,128
84,Chocolat,2000,7260,ALL,NULL,NULL,NULL,12,137
85,Cinderella,1950,4440,ALL,NULL,NULL,NULL,2,301
86,City of Angels (Stadt der Engel),1998,9120,ALL,NULL,NULL,NULL,6,128
87,Cloverfield,2008,4860,ALL,NULL,NULL,NULL,15,152
88,"Constant Gardener, The",2005,7740,ALL,NULL,NULL,NULL,6,136
89,Constantine,2005,7260,ALL,NULL,NULL,NULL,7,136
90,Cool Runnings,1993,5880,ALL,NULL,NULL,NULL,3,137
91,Cowboys and Aliens,2011,6540,ALL,NULL,NULL,NULL,15,137
92,Coyote Ugly,2000,5640,ALL,NULL,NULL,NULL,12,129
93,Cube,1998,5520,ALL,NULL,NULL,NULL,9,301
94,D-Day 6.6.44,2004,5700,ALL,NULL,NULL,NULL,11,301
95,"Da Vinci Code, The",2006,8580,ALL,NULL,NULL,NULL,1,301
96,Dante's Peak,1997,6720,ALL,NULL,NULL,NULL,1,301
97,Daredevil,2003,6600,ALL,NULL,NULL,NULL,7,152
98,Dark Angel - Season One,2000,56580,ALL,NULL,NULL,NULL,18,136
99,Dark Angel - Season Two,2002,56580,ALL,NULL,NULL,NULL,18,136
100,Dark Water (Dunkle Wasser),2005,6300,ALL,NULL,NULL,NULL,9,301
101,Day After Tomorrow,2004,7440,ALL,NULL,NULL,NULL,1,301
102,Dead Man Walking,1995,7200,ALL,NULL,NULL,NULL,6,301
103,Death Proof,2007,6600,ALL,NULL,NULL,NULL,1,295
104,Déjà Vu,2006,7260,ALL,NULL,NULL,NULL,1,301
105,"Departed, The",2006,8700,ALL,NULL,NULL,NULL,6,152
106,Dirty Dancing 2,2005,4980,ALL,NULL,NULL,NULL,12,136
107,Dirty Dancing II,2004,6300,ALL,NULL,NULL,NULL,12,136
108,District 9,2009,6480,ALL,NULL,NULL,NULL,15,295
109,Django Unchained,2012,9900,ALL,NULL,NULL,NULL,6,295
110,Dodgeball,2004,5760,ALL,NULL,NULL,NULL,3,301
111,Dogma,1999,7800,ALL,NULL,NULL,NULL,3,137
112,Elizabeth: The Golden Age,2007,6840,ALL,NULL,NULL,NULL,6,301
113,Elizabethtown,2005,7380,ALL,NULL,NULL,NULL,12,128
114,Ella - Verflixt & Zauberfaft,2004,5700,ALL,NULL,NULL,NULL,16,301
115,Elysium,2013,6540,ALL,NULL,NULL,NULL,15,295
116,Emma,1996,7200,ALL,NULL,NULL,NULL,3,136
117,"English Patient, The",1996,9720,ALL,NULL,NULL,NULL,6,128
118,Eragon,2006,6000,ALL,NULL,NULL,NULL,7,301
119,Evelyn,2002,5640,ALL,NULL,NULL,NULL,6,128
120,Extreme Rage (Man Apart),2003,6540,ALL,NULL,NULL,NULL,1,136
121,Fahrenheit 9/11,2004,6960,ALL,NULL,NULL,NULL,5,152
122,"Family Stone, The",2005,6120,ALL,NULL,NULL,NULL,3,301
123,Fantastic Four,2005,6240,ALL,NULL,NULL,NULL,7,301
124,Fantastic Four: Rise of the Silver Surfer,2007,5520,ALL,NULL,NULL,NULL,7,301
125,Far and Away (In einem Fernen Land),1992,8400,ALL,NULL,NULL,NULL,12,301
126,Fargo,1996,5640,ALL,NULL,NULL,NULL,3,136
127,Fast and the Furious,2001,6060,ALL,NULL,NULL,NULL,1,301
128,Fifth Element,1997,7620,ALL,NULL,NULL,NULL,15,137
129,Fifty Shades of Grey,2015,7500,ALL,NULL,NULL,NULL,6,301
130,Fifty Shades of Grey - Gefährliche Liebe,2017,6900,ALL,NULL,NULL,NULL,6,136
131,Fight Club,1999,8340,ALL,NULL,NULL,NULL,1,129
132,"Final Call, The",2004,5640,ALL,NULL,NULL,NULL,1,129
133,Final Cut,2004,6300,ALL,NULL,NULL,NULL,15,295
134,Final Destination,2000,5820,ALL,NULL,NULL,NULL,9,136
135,Final Destination 2,2003,5400,ALL,NULL,NULL,NULL,9,129
136,Final Destination 3,2006,5520,ALL,NULL,NULL,NULL,9,136
137,Final Destination 4,2009,4920,ALL,NULL,NULL,NULL,9,129
138,Finding Forrester,2000,7860,ALL,NULL,NULL,NULL,6,136
139,Finding Nemo,2003,6060,ALL,NULL,NULL,NULL,2,295
140,Flags of Our Fathers,2006,7560,ALL,NULL,NULL,NULL,11,128
141,Flug 93 (United 93),2006,6660,ALL,NULL,NULL,NULL,5,295
142,Frequency,2000,7020,ALL,NULL,NULL,NULL,15,136
143,From Dusk till Dawn,1996,6480,ALL,NULL,NULL,NULL,9,295
144,From Hell,2001,6900,ALL,NULL,NULL,NULL,7,301
145,Full Metal Jacket,1987,6960,ALL,NULL,NULL,NULL,11,301
146,Gattaca,1997,6720,ALL,NULL,NULL,NULL,15,128
147,"Geisha, The Memoirs of a",2005,8640,ALL,NULL,NULL,NULL,8,301
148,Ghetto Gangz,2006,4920,ALL,NULL,NULL,NULL,1,137
149,Ghost Rider,2007,6300,ALL,NULL,NULL,NULL,7,152
150,Ghost Ship,2002,5280,ALL,NULL,NULL,NULL,9,301
151,"Ghostwriter, Der",2010,7680,ALL,NULL,NULL,NULL,6,301
152,"Girl on the Train, The",2016,6720,ALL,NULL,NULL,NULL,6,301
153,"Girl with the Dragon Tattoo, The (Verblendung)",2011,9480,ALL,NULL,NULL,NULL,6,129
154,Gladiator,2000,9000,ALL,NULL,NULL,NULL,8,301
155,"Glorreichen Sieben, Die",2016,7980,ALL,NULL,NULL,NULL,19,128
156,"Golden Compass, The",2007,6780,ALL,NULL,NULL,NULL,7,128
157,Gone Baby Gone,2007,7380,ALL,NULL,NULL,NULL,4,128
158,Gone Girl,2014,8700,ALL,NULL,NULL,NULL,4,129
159,"Good Morning, Vietnam",1987,7140,ALL,NULL,NULL,NULL,11,128
160,"Good Shepherd, The",2006,9600,ALL,NULL,NULL,NULL,6,301
161,Gothika,2003,5820,ALL,NULL,NULL,NULL,9,152
162,"Greatest Showman, The",2017,6060,ALL,NULL,NULL,NULL,13,152
163,Green Zone,2010,6900,ALL,NULL,NULL,NULL,11,295
164,Grounding,2005,8100,ALL,NULL,NULL,NULL,14,152
165,Gunpowder,2017,10800,ALL,NULL,NULL,NULL,8,128
166,Half Light,2006,6360,ALL,NULL,NULL,NULL,9,129
167,Hamburger Hill,1987,6600,ALL,NULL,NULL,NULL,11,137
168,Hangover,2009,6000,ALL,NULL,NULL,NULL,3,301
169,Hangover 3,2013,5760,ALL,NULL,NULL,NULL,3,301
170,"Happening, The",2008,5700,ALL,NULL,NULL,NULL,15,137
171,Happy Feet,2006,6240,ALL,NULL,NULL,NULL,2,136
172,Harry Potter I - Stein der Weisen,2001,9180,ALL,NULL,NULL,NULL,7,128
173,Harry Potter II - Kammer des Schreckens,2002,6900,ALL,NULL,NULL,NULL,7,128
174,Harry Potter III - Gefangene von Askaban,2004,8160,ALL,NULL,NULL,NULL,7,128
175,Harry Potter IV - Feuerkelch,2005,9420,ALL,NULL,NULL,NULL,7,289
176,Harry Potter V - Orden des Phönix,2007,8280,ALL,NULL,NULL,NULL,7,136
177,Harry Potter VI - Halbblutprinz,2009,9180,ALL,NULL,NULL,NULL,7,136
178,Harry Potter VII - Heiligtümer des Todes (Teil 1),2010,8760,ALL,NULL,NULL,NULL,7,136
179,Harry Potter VII - Heiligtümer des Todes (Teil 2),2010,7500,ALL,NULL,NULL,NULL,7,136
180,Head in the Clouds,2004,7440,ALL,NULL,NULL,NULL,8,137
181,Hearts in Atlantis,2001,6960,ALL,NULL,NULL,NULL,6,301
182,Hercules,2014,5460,ALL,NULL,NULL,NULL,2,301
183,Hinter dem Horizont (What Dreams May Come),1998,6360,ALL,NULL,NULL,NULL,7,301
184,"History of Violance, The",2005,5760,ALL,NULL,NULL,NULL,6,129
185,Hitch,2005,6900,ALL,NULL,NULL,NULL,3,128
186,"Homesman, The",2014,7080,ALL,NULL,NULL,NULL,19,301
187,Hope Springs,2003,5280,ALL,NULL,NULL,NULL,12,144
188,Hostage,2005,6120,ALL,NULL,NULL,NULL,4,136
189,Hotel Rwanda,2004,7260,ALL,NULL,NULL,NULL,6,301
190,Hotel Transsilvanien,2012,5460,ALL,NULL,NULL,NULL,2,136
191,Hotel Transsilvanien 2,2015,5340,ALL,NULL,NULL,NULL,2,136
192,Hugo Cabret,2011,7560,ALL,NULL,NULL,NULL,7,152
193,"Huntsman & The Ice Queen, The",2016,6840,ALL,NULL,NULL,NULL,7,128
194,I am Legend,2007,6000,ALL,NULL,NULL,NULL,1,136
195,"I, Robot",2004,6600,ALL,NULL,NULL,NULL,15,128
196,I.Q.,1994,5760,ALL,NULL,NULL,NULL,12,136
197,Ice Age 1,2002,4500,ALL,NULL,NULL,NULL,2,128
198,Ice Age 2: The Meltdown,2006,5220,ALL,NULL,NULL,NULL,2,128
199,Ice Age 3: Dawn of the Dinosaurs,2009,5400,ALL,NULL,NULL,NULL,2,128
200,Ice Age 4: Continental Drift,2012,5640,ALL,NULL,NULL,NULL,2,301
201,Ich - Einfach unverbesserlich (Minions),2010,5640,ALL,NULL,NULL,NULL,2,295
202,Ich - Einfach unverbesserlich 2 (Minions),2013,5880,ALL,NULL,NULL,NULL,2,295
203,Identity,2003,5220,ALL,NULL,NULL,NULL,9,136
204,"Illusionist, The",2006,6600,ALL,NULL,NULL,NULL,7,295
205,Inception,2010,8880,ALL,NULL,NULL,NULL,15,128
206,Inferno,2016,7260,ALL,NULL,NULL,NULL,1,301
207,Inglorious Basterds,2009,9180,ALL,NULL,NULL,NULL,11,295
208,Inside Job,2010,7200,ALL,NULL,NULL,NULL,5,128
209,Inside Man,2006,7740,ALL,NULL,NULL,NULL,4,301
210,"Insider, The",1999,9300,ALL,NULL,NULL,NULL,4,152
211,"International, The",2008,7200,ALL,NULL,NULL,NULL,4,301
212,Interstellar,2014,10140,ALL,NULL,NULL,NULL,15,128
213,Iron Man,2008,7080,ALL,NULL,NULL,NULL,15,137
214,"Island, The",2005,7620,ALL,NULL,NULL,NULL,15,152
215,Italian Job,2003,6000,ALL,NULL,NULL,NULL,4,136
216,"Jacket, The",2005,6420,ALL,NULL,NULL,NULL,9,137
217,Jackie Brown,1997,9300,ALL,NULL,NULL,NULL,3,295
218,Jane Austen's Northanger Abbey,2007,5580,ALL,NULL,NULL,NULL,6,137
219,Jarhead,2005,6900,ALL,NULL,NULL,NULL,11,301
220,Johanna von Orleans (Joan of Arc),1999,9120,ALL,NULL,NULL,NULL,6,137
221,"Junge im gestreiften Pyjama, Der",2008,5700,ALL,NULL,NULL,NULL,6,144
222,Jurassic World,2015,7440,ALL,NULL,NULL,NULL,1,128
223,Jurassic World: Das gefallene Königreich,2018,7740,ALL,NULL,NULL,NULL,1,136
224,K-PAX,2001,7080,ALL,NULL,NULL,NULL,15,136
225,Kaltes Blut (Infamous),2006,6600,ALL,NULL,NULL,NULL,6,136
226,"Kammer, Die (The Chamber)",1996,6780,ALL,NULL,NULL,NULL,6,136
227,Kate & Leopold,2001,7200,ALL,NULL,NULL,NULL,12,136
228,Keeping the Faith,2000,7740,ALL,NULL,NULL,NULL,3,136
229,"Kill Bill, Volume 1",2003,5760,ALL,NULL,NULL,NULL,1,295
230,"Kill Bill, Volume 2",2004,8220,ALL,NULL,NULL,NULL,1,295
231,Killing Fields,1984,8460,ALL,NULL,NULL,NULL,11,301
232,King Arthur,2004,7800,ALL,NULL,NULL,NULL,8,128
233,Kingdom of Heaven,2005,8700,ALL,NULL,NULL,NULL,8,301
234,Kingsman,2014,7740,ALL,NULL,NULL,NULL,3,152
235,"Kiss Kiss, Bang Bang",2005,6120,ALL,NULL,NULL,NULL,3,301
236,Kon-Tiki,2012,6780,ALL,NULL,NULL,NULL,6,136
237,Lady in the Water,2006,6600,ALL,NULL,NULL,NULL,7,137
238,"Last Days on Mars, The",2013,5880,ALL,NULL,NULL,NULL,15,301
239,"Last King of Scotland, The",2006,7080,ALL,NULL,NULL,NULL,6,137
240,"Last Samurai, The",2003,9240,ALL,NULL,NULL,NULL,8,136
241,Laws of Attraction,2004,5400,ALL,NULL,NULL,NULL,12,295
242,"Lazarus Projekt, Das",2008,6000,ALL,NULL,NULL,NULL,6,137
243,"League of Extraordinary Gentlemen, The",2003,6720,ALL,NULL,NULL,NULL,7,301
244,"Legend of 1900, The (Der Ozeanpianist)",1998,10200,ALL,NULL,NULL,NULL,6,136
245,Legend of Tarzan,2016,6600,ALL,NULL,NULL,NULL,15,136
246,Les Misérables,2012,9420,ALL,NULL,NULL,NULL,6,301
247,Letters From Iwo Jima,2006,8100,ALL,NULL,NULL,NULL,11,128
248,Letters to Juliet (Biefe an Julia),2010,6300,ALL,NULL,NULL,NULL,3,136
249,Life of David Gale,2003,7800,ALL,NULL,NULL,NULL,1,128
250,Lion King,1994,5220,ALL,NULL,NULL,NULL,2,301
251,"Longest Day, The",1962,10800,ALL,NULL,NULL,NULL,11,152
252,Lord of the Rings I - The Fellowship,2001,10680,ALL,NULL,NULL,NULL,7,295
253,Lord of the Rings II - The Two Towers,2002,10200,ALL,NULL,NULL,NULL,7,295
254,Lord of the Rings III - The Return of the King,2003,12600,ALL,NULL,NULL,NULL,7,295
255,Lord of War,2005,7320,ALL,NULL,NULL,NULL,4,128
256,LOST - Staffel 1,2004,64140,ALL,NULL,NULL,NULL,18,136
257,LOST - Staffel 2,2006,60240,ALL,NULL,NULL,NULL,18,136
258,LOST - Staffel 3,2007,56760,ALL,NULL,NULL,NULL,18,136
259,LOST - Staffel 4,2009,34620,ALL,NULL,NULL,NULL,18,136
260,LOST - Staffel 5,2010,42180,ALL,NULL,NULL,NULL,18,136
261,LOST - Staffel 6,2010,45000,ALL,NULL,NULL,NULL,18,136
262,Machtlos (Rendition),2007,7200,ALL,NULL,NULL,NULL,6,136
263,Madagascar,2005,4800,ALL,NULL,NULL,NULL,2,136
264,Madagascar II,2008,5340,ALL,NULL,NULL,NULL,2,136
265,"Magische Schwert, Das",1998,4980,ALL,NULL,NULL,NULL,2,136
266,Magnolia,1999,11280,ALL,NULL,NULL,NULL,6,295
267,Man about Town,2006,5700,ALL,NULL,NULL,NULL,12,152
268,Männerzirkus (Someone Like You),2001,6000,ALL,NULL,NULL,NULL,3,301
269,Mary Poppins,1964,8400,ALL,NULL,NULL,NULL,2,301
270,Master and Commander,2003,8280,ALL,NULL,NULL,NULL,8,295
271,Matrix,1999,7200,ALL,NULL,NULL,NULL,15,301
272,Matrix Reloaded,2003,8280,ALL,NULL,NULL,NULL,15,301
273,Matrix Revolutions,2003,7740,ALL,NULL,NULL,NULL,15,301
274,Max Payne,2008,6000,ALL,NULL,NULL,NULL,15,137
275,Meet the Fockers,2004,6000,ALL,NULL,NULL,NULL,3,136
276,Meet the Parents,2000,6480,ALL,NULL,NULL,NULL,3,136
277,Mercury Rising,1998,7800,ALL,NULL,NULL,NULL,1,136
278,Merida - Legende der Highlands,2012,5460,ALL,NULL,NULL,NULL,2,295
279,Metro,1997,7020,ALL,NULL,NULL,NULL,1,301
280,"Mexican, The",2001,7380,ALL,NULL,NULL,NULL,1,136
281,Miami Vice,2006,8100,ALL,NULL,NULL,NULL,4,152
282,Milk,2008,7680,ALL,NULL,NULL,NULL,6,136
283,Million Dollar Baby,2004,7920,ALL,NULL,NULL,NULL,6,128
284,Mimic,1997,6120,ALL,NULL,NULL,NULL,9,136
285,Minority Report,2002,8640,ALL,NULL,NULL,NULL,15,301
286,Miss Undercover I,2000,6300,ALL,NULL,NULL,NULL,3,136
287,Miss Undercover II,2005,6600,ALL,NULL,NULL,NULL,3,137
288,"Missing, The",2003,7800,ALL,NULL,NULL,NULL,6,301
289,Mission to Mars,2000,6780,ALL,NULL,NULL,NULL,15,128
290,Mission: Impossible,1996,6600,ALL,NULL,NULL,NULL,1,128
291,Mission: Impossible II,2000,7080,ALL,NULL,NULL,NULL,1,137
292,Mission: Impossible III,2006,7560,ALL,NULL,NULL,NULL,1,136
293,Mona Lisa Smile,2003,7020,ALL,NULL,NULL,NULL,8,289
294,Monster,2003,6660,ALL,NULL,NULL,NULL,6,295
295,Monster Inc.,2001,5280,ALL,NULL,NULL,NULL,2,295
296,Monsters University,2013,6600,ALL,NULL,NULL,NULL,2,129
297,Monty Python and the Holy Grail,1975,5340,ALL,NULL,NULL,NULL,3,301
298,Monty Python's Life of Brian,1979,5580,ALL,NULL,NULL,NULL,3,301
299,"Monuments Men, The",2014,7080,ALL,NULL,NULL,NULL,11,136
300,Movie 43,2011,5880,ALL,NULL,NULL,NULL,3,136
301,Mr. and Mrs. Smith,2005,7200,ALL,NULL,NULL,NULL,3,136
302,Mulan,1998,5160,ALL,NULL,NULL,NULL,2,128
303,Mulan II,2012,4500,ALL,NULL,NULL,NULL,2,129
304,München,2005,9840,ALL,NULL,NULL,NULL,4,301
305,My Super Ex-Girlfriend,2006,5580,ALL,NULL,NULL,NULL,3,136
306,Mystic River,2003,8220,ALL,NULL,NULL,NULL,6,128
307,"Narnia I, The Chronicles of Narnia",2005,8160,ALL,NULL,NULL,NULL,7,128
308,Narnia II - Prinz Kaspian von Narnia,2008,8340,ALL,NULL,NULL,NULL,7,128
309,National Treasure I,2004,7560,ALL,NULL,NULL,NULL,7,137
310,National Treasure II: Book of Secrets,2007,7140,ALL,NULL,NULL,NULL,7,137
311,Natural Born Killers,1994,7200,ALL,NULL,NULL,NULL,4,295
312,Next,2007,5520,ALL,NULL,NULL,NULL,15,137
313,Next Door (Naboer),2005,4320,ALL,NULL,NULL,NULL,9,295
314,Night at the Museum (Nachts im Museum),2006,6120,ALL,NULL,NULL,NULL,3,301
315,Night at the Museum 2,2009,6300,ALL,NULL,NULL,NULL,3,301
316,Niko - Ein Rentier hebt ab,2010,4560,ALL,NULL,NULL,NULL,2,152
317,No Country for old Men,2007,7320,ALL,NULL,NULL,NULL,4,136
318,Notting Hill,1999,7380,ALL,NULL,NULL,NULL,3,301
319,Oblivion,2013,7740,ALL,NULL,NULL,NULL,15,137
320,Ocean's 11,2001,6960,ALL,NULL,NULL,NULL,4,301
321,Ocean's 12,2004,7500,ALL,NULL,NULL,NULL,4,301
322,Ocean's 13,2007,7020,ALL,NULL,NULL,NULL,4,301
323,On the Line,2001,5400,ALL,NULL,NULL,NULL,12,136
324,Once Upon a Time,2012,54120,ALL,NULL,NULL,NULL,18,128
325,Once Upon A Time in Hollywood,2019,9300,ALL,NULL,NULL,NULL,4,295
326,One Way,2007,6720,ALL,NULL,NULL,NULL,4,301
327,Operation Walküre - Stauffenberg Attentat ,2008,7380,ALL,NULL,NULL,NULL,11,128
328,Operation: Kingdom,2007,6300,ALL,NULL,NULL,NULL,6,295
329,"Others, The",2001,6240,ALL,NULL,NULL,NULL,9,128
330,Oxford Murders,2008,6240,ALL,NULL,NULL,NULL,4,128
331,P.S. – I Love You,2007,7260,ALL,NULL,NULL,NULL,6,301
332,P.S. – Liebe auf Anfang,2004,5820,ALL,NULL,NULL,NULL,6,136
333,"Pacific, The",2010,31320,ALL,NULL,NULL,NULL,11,136
334,Password Swordfish,2001,5940,ALL,NULL,NULL,NULL,4,136
335,Patton,1970,10200,ALL,NULL,NULL,NULL,11,136
336,Paycheck,2003,7140,ALL,NULL,NULL,NULL,15,137
337,Pearl Harbor,2001,10200,ALL,NULL,NULL,NULL,11,152
338,"Perfect Man, The",2005,5760,ALL,NULL,NULL,NULL,12,152
339,Perfect World,1993,7800,ALL,NULL,NULL,NULL,6,128
340,"Perfekte Verbrechen, Das (Fracture)",2007,6540,ALL,NULL,NULL,NULL,4,136
341,Peter Pan (Walt Disney),2012,4620,ALL,NULL,NULL,NULL,2,301
342,Pirates of the Caribbean I: The Curse of the Black Pearl,2003,8580,ALL,NULL,NULL,NULL,7,136
343,Pirates of the Caribbean II: Dead Man's Chest,2006,9000,ALL,NULL,NULL,NULL,7,136
344,Pirates of the Caribbean III: At World's End,2007,9720,ALL,NULL,NULL,NULL,7,136
345,Pirates of the Caribbean IV: Fremde Gezeiten,2011,7860,ALL,NULL,NULL,NULL,7,301
346,Pitch Black,2000,6420,ALL,NULL,NULL,NULL,15,129
347,Planes,2013,5520,ALL,NULL,NULL,NULL,2,295
348,Platoon,1986,6660,ALL,NULL,NULL,NULL,11,295
349,"Pledge, The",2001,7440,ALL,NULL,NULL,NULL,4,301
350,Pocahontas,1995,5220,ALL,NULL,NULL,NULL,2,152
351,Polar Express,2004,6000,ALL,NULL,NULL,NULL,2,301
352,Poseidon,2006,5640,ALL,NULL,NULL,NULL,1,301
353,"Prestige, The",2006,7680,ALL,NULL,NULL,NULL,6,128
354,"Prince & Me, The",2004,6660,ALL,NULL,NULL,NULL,16,152
355,Princess of Thieves (Gwyn),2001,5280,ALL,NULL,NULL,NULL,1,295
356,Pulp Fiction,1994,9240,ALL,NULL,NULL,NULL,4,295
357,Rambo IV,2007,5220,ALL,NULL,NULL,NULL,1,301
358,Rapunzel,2010,5460,ALL,NULL,NULL,NULL,2,301
359,Ratatouille,2007,6480,ALL,NULL,NULL,NULL,2,295
360,Red Planet,2000,6600,ALL,NULL,NULL,NULL,15,128
361,Red Sparrow,2018,8040,ALL,NULL,NULL,NULL,17,136
362,Reservoir Dogs,1992,5940,ALL,NULL,NULL,NULL,4,295
363,Resident Evil,2002,6000,ALL,NULL,NULL,NULL,9,295
364,Resident Evil: Apocalypse,2004,5940,ALL,NULL,NULL,NULL,9,128
365,Resident Evil: Extinction,2007,5700,ALL,NULL,NULL,NULL,9,301
